outcome_id,event_id,return_3d,market_return_3d,car_3d,direction_3d,is_flat_3d,return_10d,market_return_10d,car_10d,direction_10d,is_flat_10d,outcome_window_end_3d,outcome_window_end_10d,scored_at
84415afa-2c62-47,62e6350cc3bb1088,,,,,,,,,,,,,2026-06-21T14:37:21.126932Z
cfe64a73-76a2-4d,51694c0d7ba4e064,,,,,,,,,,,,,2026-06-21T14:37:23.098932Z
0055bf1a-b7ca-46,aa8006e14c3a870a,,,,,,,,,,,,,2026-06-21T14:37:29.812654Z
c0ddfb0a-3f86-40,b04c8a05dfb0e918,,,,,,,,,,,,,2026-06-21T14:37:38.423832Z
b6d542b5-a7da-43,b187655c6069359d,-0.09038,-0.02899,-0.061389,negative,False,-0.024402,-0.012165,-0.012237,negative,False,2026-06-05,2026-06-16,2026-06-21T17:24:48.257888Z
a580d4e4-5b1a-43,e9c4fa0b31a990fa,-0.028533,0.007847,-0.03638,negative,False,-0.023733,-0.018039,-0.005694,negative,False,2026-05-29,2026-06-09,2026-06-21T17:24:50.052555Z
511e435b-06b5-47,7ff12c3ca59782de,-0.037506,0.012016,-0.049523,negative,False,-0.030743,-0.00861,-0.022133,negative,False,2026-05-28,2026-06-08,2026-06-21T17:24:51.711098Z
00b422a5-b96f-4e,e21ad5896c760dcb,-0.019801,-0.019914,0.000113,neutral,True,-0.020023,-0.017607,-0.002416,neutral,True,2026-06-08,2026-06-17,2026-06-21T17:24:53.692985Z
c5a53088-8485-4b,d1df2345e71f3956,0.14234,-0.001912,0.144252,positive,False,0.042979,-0.004891,0.04787,positive,False,2026-06-04,2026-06-15,2026-06-21T17:24:55.409723Z
989dd838-8152-43,0508e906f712608f,0.039735,-0.002961,0.042696,positive,False,0.026088,-0.019472,0.04556,positive,False,2026-06-03,2026-06-12,2026-06-21T17:24:58.153575Z
b31c0d1b-b20f-4e,e45c87e134103427,0.041309,0.006586,0.034723,positive,False,0.052133,-0.022316,0.074449,positive,False,2026-06-02,2026-06-11,2026-06-21T17:25:00.097843Z
c04af691-aa15-4d,64ecf031f7470b44,-0.050351,0.006586,-0.056937,negative,False,-0.025329,-0.022316,-0.003012,neutral,True,2026-06-02,2026-06-11,2026-06-21T17:25:01.284893Z
2d489de9-7f70-4b,dd430c105206dd25,-0.038821,0.006377,-0.045198,negative,False,-0.079484,0.005305,-0.084789,negative,False,2026-06-12,2026-06-18,2026-06-21T17:25:03.777602Z
adfe8ef7-008c-4a,ef8cd410fe1815b9,0.030321,0.007847,0.022474,positive,False,0.032314,-0.018039,0.050353,positive,False,2026-05-29,2026-06-09,2026-06-21T17:25:05.168988Z
1b94dcbd-89d0-4f,1b7a21f505d84052,-0.001863,-0.012488,0.010625,positive,False,-0.001863,-0.012488,0.010625,positive,False,2026-06-18,2026-06-18,2026-06-21T17:25:07.216725Z
129c12c3-2985-4b,0c88b7ad3aefb3e1,-0.052882,-0.016433,-0.036449,negative,False,0.074274,0.004623,0.069651,positive,False,2026-06-10,2026-06-18,2026-06-21T17:25:09.250840Z
8ed9fcf4-ad1f-4f,a99949bc3ad44dbf,0.001242,0.007847,-0.006605,negative,False,-0.06017,-0.018039,-0.042131,negative,False,2026-05-29,2026-06-09,2026-06-21T17:25:11.618274Z
bb5c1188-2d59-4f,c3b614936426d113,-0.01846,-0.012488,-0.005972,negative,False,-0.01846,-0.012488,-0.005972,negative,False,2026-06-18,2026-06-18,2026-06-21T17:25:13.401138Z
f6520db4-9232-40,23c37cb3989b5d11,0.029267,-0.02899,0.058257,positive,False,0.075658,-0.012165,0.087823,positive,False,2026-06-05,2026-06-16,2026-06-21T17:25:14.846411Z
2ce5ae67-4394-44,54b60aa0c49c0950,-0.03125,-0.001065,-0.030185,negative,False,-0.03125,-0.001065,-0.030185,negative,False,2026-06-17,2026-06-18,2026-06-21T17:25:16.732847Z
11ad64cf-a9fc-40,c75aa0abde5f4abf,0.011747,0.007847,0.0039,neutral,True,0.038659,-0.018039,0.056698,positive,False,2026-05-29,2026-06-09,2026-06-21T17:25:18.033310Z
05c140f0-4ea2-45,7bd07de0a3c1897b,-0.025855,-0.02647,0.000615,neutral,True,-0.049797,-0.021305,-0.028492,negative,False,2026-06-09,2026-06-18,2026-06-21T17:25:20.253904Z
cb082e7b-cc9c-47,e0b32f309f6294f5,0.052229,-0.001912,0.054141,positive,False,0.096154,-0.004891,0.101045,positive,False,2026-06-04,2026-06-15,2026-06-21T17:25:21.527131Z
8854fea5-124b-47,af8630f690d63542,-0.075583,-0.02899,-0.046592,negative,False,-0.192754,-0.012165,-0.180589,negative,False,2026-06-05,2026-06-16,2026-06-21T17:25:22.973453Z
a89a9e7a-e1b6-4c,6bfa3698aac22abd,-0.010948,-0.012488,0.00154,neutral,True,-0.010948,-0.012488,0.00154,neutral,True,2026-06-18,2026-06-18,2026-06-21T17:25:24.794855Z
8cb8506a-ed68-45,56de9da2e8644793,0.026389,-0.001975,0.028364,positive,False,0.034969,0.002354,0.032615,positive,False,2026-06-11,2026-06-18,2026-06-21T17:25:27.505872Z
9c19373e-008e-40,cf1795ec5a85b1ec,0.057008,0.017038,0.03997,positive,False,0.072935,0.004337,0.068598,positive,False,2026-06-16,2026-06-18,2026-06-21T17:25:29.494136Z
